id;code;name;level;created_at;updated_at
1;01.03.01;Математика;бакалавриат;\N;\N
2;01.03.02;Прикладная математика и информатика;бакалавриат;\N;\N
3;01.03.03;Механика и математическое моделирование;бакалавриат;\N;\N
4;01.03.04;Прикладная математика;бакалавриат;\N;\N
5;01.03.05;Статистика;бакалавриат;\N;\N
6;02.03.01;Математика и компьютерные науки;бакалавриат;\N;\N
7;02.03.02;Фундаментальная информатика и информационные технологии;бакалавриат;\N;\N
8;02.03.03;Математическое обеспечение и администрирование информационных систем;бакалавриат;\N;\N
9;03.03.01;Прикладные математика и физика;бакалавриат;\N;\N
10;03.03.02;Физика;бакалавриат;\N;\N
11;03.03.03;Радиофизика;бакалавриат;\N;\N
12;04.03.01;Химия;бакалавриат;\N;\N
13;04.03.02;Химия, физика и механика материалов;бакалавриат;\N;\N
14;05.03.01;Геология;бакалавриат;\N;\N
15;05.03.02;География;бакалавриат;\N;\N
16;05.03.03;Картография и геоинформатика;бакалавриат;\N;\N
17;05.03.04;Гидрометеорология;бакалавриат;\N;\N
18;05.03.05;Прикладная гидрометеорология;бакалавриат;\N;\N
19;05.03.06;Экология и природопользование;бакалавриат;\N;\N
20;06.03.01;Биология;бакалавриат;\N;\N
21;06.03.02;Почвоведение;бакалавриат;\N;\N
22;07.03.01;Архитектура;бакалавриат;\N;\N
23;07.03.02;Реконструкция и реставрация архитектурного наследия;бакалавриат;\N;\N
24;07.03.03;Дизайн архитектурной среды;бакалавриат;\N;\N
25;07.03.04;Градостроительство;бакалавриат;\N;\N
26;08.03.01;Строительство;бакалавриат;\N;\N
27;09.03.01;Информатика и вычислительная техника;бакалавриат;\N;\N
28;09.03.02;Информационные системы и технологии;бакалавриат;\N;\N
29;09.03.03;Прикладная информатика;бакалавриат;\N;\N
30;09.03.04;Программная инженерия;бакалавриат;\N;\N
31;10.03.01;Информационная безопасность;бакалавриат;\N;\N
32;11.03.01;Радиотехника;бакалавриат;\N;\N
33;11.03.02;Инфокоммуникационные технологии и системы связи;бакалавриат;\N;\N
34;11.03.03;Конструирование и технология электронных средств;бакалавриат;\N;\N
35;11.03.04;Электроника и наноэлектроника;бакалавриат;\N;\N
